table,command,anon,authenticated,public,service_role
storage.buckets_analytics,INSERT,deny,deny,deny,deny
storage.buckets_analytics,UPDATE,deny,deny,deny,deny
storage.buckets_analytics,DELETE,deny,deny,deny,deny
storage.buckets_vectors,SELECT,deny,deny,deny,deny
storage.buckets_vectors,INSERT,deny,deny,deny,deny
storage.buckets_vectors,UPDATE,deny,deny,deny,deny
storage.buckets_vectors,DELETE,deny,deny,deny,deny
storage.migrations,SELECT,deny,deny,deny,deny
storage.migrations,INSERT,deny,deny,deny,deny
storage.migrations,UPDATE,deny,deny,deny,deny
storage.migrations,DELETE,deny,deny,deny,deny
storage.objects,SELECT,allow,allow,allow,allow
storage.objects,INSERT,allow,allow,allow,allow
storage.objects,UPDATE,allow,allow,allow,allow
storage.objects,DELETE,deny,allow,deny,deny
storage.s3_multipart_uploads,SELECT,deny,deny,deny,deny
storage.s3_multipart_uploads,INSERT,deny,deny,deny,deny
storage.s3_multipart_uploads,UPDATE,deny,deny,deny,deny
storage.s3_multipart_uploads,DELETE,deny,deny,deny,deny
storage.s3_multipart_uploads_parts,SELECT,deny,deny,deny,deny
storage.s3_multipart_uploads_parts,INSERT,deny,deny,deny,deny
storage.s3_multipart_uploads_parts,UPDATE,deny,deny,deny,deny
storage.s3_multipart_uploads_parts,DELETE,deny,deny,deny,deny
storage.vector_indexes,SELECT,deny,deny,deny,deny
storage.vector_indexes,INSERT,deny,deny,deny,deny
storage.vector_indexes,UPDATE,deny,deny,deny,deny
storage.vector_indexes,DELETE,deny,deny,deny,deny
